Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g01460,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01470,964.0207369,975.263806,1116.756429,1341.75762,602.6193105,1207.037739,1126.326132,1085.740912,1138.004321,1124.071548,785.3579836,418.90916
Mp1g01480,302.379054,317.5229666,351.6370703,321.8347497,410.5506599,372.7613001,339.0800846,361.4257583,270.2146602,259.7047255,326.697563,434.1148806
Mp1g01490,388.5689501,359.8095099,432.6066001,446.9040347,253.9286865,501.5333206,418.2965332,407.8472497,392.304243,388.0712785,356.2344063,100.9731195
Mp1g01500,0,2.048114074,1.39E-17,1.39E-17,0.058270746,0.830913042,0,0.836798623,1.39E-17,1.39E-17,0.003607102,1.452450614
Mp1g01510,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.448758655,0,0.927516214,0.794401521,1.39E-17,1.39E-17,0.007046259,2.846153123
Mp1g01520,1248.991401,1351.5411,1395.927701,1942.772143,786.9115676,1218.314297,1159.831025,1241.647705,1397.989073,1465.851274,836.6432779,921.1045551
Mp1g01530,108.187401,90.74691999,149.6192356,137.4784664,84.39969288,119.3230405,87.44856036,134.1088642,116.8660759,105.0219124,108.4965923,62.49948106
Mp1g01540,1712.81818,1316.543335,1491.310571,1357.559939,7830.705371,2180.416033,2218.157565,2258.867096,1704.410587,1582.458051,3011.746751,6440.681489
Mp1g01550,1186.728,1124.758979,1473.215641,1283.843877,2324.557617,1632.372667,1359.203776,1413.748946,1012.852682,981.7982578,2283.573668,2105.525278
Mp1g01560,819.2538813,786.6108423,1009.162147,841.4244158,1201.020181,1088.082958,1044.356207,971.5015107,831.0451446,920.8712228,909.3521576,1024.121833
Mp1g01570,1972.925132,2151.547221,1763.852002,1530.765491,1740.822224,1444.43905,1618.210482,1593.168444,1674.394348,1928.280653,2300.953511,1672.918204
Mp1g01580,469.2227843,421.6699396,613.6297558,719.4476277,316.4746912,725.8705685,741.5481441,763.5711114,587.7617582,549.5903325,392.1894836,343.5145614
Mp1g01590,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,2.369725098,0.676503992,1.39E-17,1.39E-17
Mp1g01600,449.1746349,409.6254629,354.793069,435.8737078,502.4701003,343.2984814,369.4766628,388.9272192,333.7166797,352.1656019,344.8371097,551.1731075
Mp1g01610,2274.440256,2327.846585,3190.351114,2726.26533,3060.777442,3315.524552,2846.043347,3086.115136,2329.306463,2586.1574,2675.775677,2456.678578
Mp1g01620,232.7335101,245.3571886,181.9661701,214.439648,216.9475206,166.4986327,193.7852166,184.3070035,249.6266889,235.7201815,308.2145049,258.2610206
Mp1g01630,143.7848902,179.3542313,214.4188772,195.5825365,269.7843468,242.9966664,222.6200341,244.7962939,193.5605722,253.8482384,264.2315302,350.3727838
Mp1g01640,1086.766796,1241.22605,1286.458965,1063.768368,635.2373753,1211.924676,1181.280129,1177.136902,1127.397975,1040.500775,744.3889794,369.1350659
Mp1g01650,3130.346702,3150.53398,5462.023406,5717.11032,2367.287882,5567.309442,4473.568764,4874.286675,3623.852693,3787.504455,2278.310674,566.8628532
Mp1g01660,168.5257297,210.281689,214.4012685,212.2984965,79.11082076,198.5976651,225.4542039,218.5847984,193.686185,225.113776,116.6391766,36.04314189
Mp1g01670,3200.899762,3286.614114,3138.830422,3528.314917,3363.029214,3086.243787,3314.662554,3405.031378,3420.08727,3504.523253,3661.933801,3967.049318
Mp1g01680,1698.09212,1520.645924,1306.41582,1363.068201,1187.669582,991.9255955,1067.636041,1024.554212,1288.185838,1487.609685,1487.902307,1348.528912
Mp1g01690,1206.93988,1010.343705,1290.258335,1124.072693,920.6025703,1187.766985,1298.654421,1328.894054,943.5542545,799.1978569,767.9571439,438.0804254
Mp1g01700,284.0789212,278.3575276,492.5960118,619.9693202,284.889758,529.4092418,509.5692912,536.8071597,376.242415,383.4647785,270.3123042,200.5872986
