target_id	TF_id	cor	p	in_fimo	target_name	TF_name
Mp3g25200	Mp8g15500	-0.828258585971834	0.000875164632576197	FALSE	BHLH41	GRAS11
Mp4g08690	Mp8g15500	-0.842447832233431	0.000583160013801098	FALSE	C3H (6)	GRAS11
Mp4g15240	Mp8g15500	-0.841492430922508	0.000600040293752269	FALSE	TRIHELIX27	GRAS11
Mp4g21790	Mp8g15500	-0.894283781497139	8.6868286840236e-05	FALSE	R2R3-MYB20	GRAS11
Mp5g13160	Mp8g15500	-0.86578445944866	0.000272619699235976	FALSE	LD	GRAS11
Mp6g07410	Mp8g15500	0.838391631483465	0.000657447079636109	FALSE	NF-YB (1)	GRAS11
Mp7g09740	Mp8g15500	-0.841192257174763	0.000605421209503465	FALSE	GARP8	GRAS11
Mp7g16300	Mp8g15500	0.825969131569092	0.000931264852710889	FALSE	R2R3-MYB18	GRAS11
Mp7g18530	Mp8g15500	-0.852768126775758	0.000423254362795555	FALSE	C3H (10)	GRAS11
Mp7g19570	Mp8g15500	0.825536407531732	0.000942172824939469	FALSE	C3H (11)	GRAS11
Mp1g09960	Mp8g16900	0.945336852009846	3.50542166716039e-06	FALSE	TDR	GRF
Mp8g03980	Mp8g16900	0.925692814786284	1.57342255855397e-05	FALSE	GRAS10	GRF
Mp8g15500	Mp8g16900	-0.838710372663034	0.000651357552683862	FALSE	GRAS11	GRF
Mp8g03980	Mpzg01410	0.869172491862605	0.000241334997170384	FALSE	GRAS10	LRL
